NO3_N_py,NH4_N,SRP,DP,bulk_NO3_N_py,bulk_NH4_N,bulk_SRP,bulk_DP,NO3_rate,NH4_rate,SRP_rate,DP_rate,rock_ID
324.95,58.44,43.85,43.22,376.76,438.69,325.74,332.08,3.7531466755521246,27.545532201866347,20.420276324481534,20.925187197451976,97
346.81,52.77,34.93,32.62,376.76,438.69,325.74,332.08,2.412664633628972,31.088331733225154,23.42661108866917,24.12342407968388,98
354.91,124.06,78.83,79.69,376.76,438.69,325.74,332.08,2.071200034986499,29.824332586169486,23.405034354165554,23.92449321877544,99
335.48,89.4,75.4,78.13,376.76,438.69,325.74,332.08,4.884896890562049,41.333469837800855,29.62415425347152,30.051346060034717,100
349.24,156.33,119.29,120.84,376.76,438.69,325.74,332.08,3.061922142470927,31.415855237939375,22.96997915381989,23.50292272440258,101
349.24,97.46,65.11,64.11,376.76,438.69,325.74,332.08,2.7038947446969672,33.52652629843557,25.607415963312903,26.32858556455112,102
354.91,110.11,82.25,79.69,376.76,438.69,325.74,332.08,2.285574156512714,34.37043278475738,25.469768941385887,26.400735073786944,103
348.43,128.86,62.36,60.05,376.76,438.69,325.74,332.08,2.8667398353387363,31.351994464631172,26.65167447340335,27.526976258637376,104
349.24,102.26,64.42,64.42,376.76,438.69,325.74,332.08,1.8036660425683282,22.049686290016826,17.126962581539093,17.54248738931101,105
354.91,140.41,90.49,93.41,376.76,438.69,325.74,332.08,2.6257189296539982,35.84436807035221,28.270040192270212,28.681022285607355,106
362.19,81.85,83.63,83.75,376.76,438.69,325.74,332.08,1.8711233060508805,45.82646812156462,31.092495787781665,31.891286931476685,107
329,142.81,92.54,93.1,376.76,438.69,325.74,332.08,3.6451972899104823,22.582516208934543,17.798576382058727,18.239724630293285,108
373.53,86.78,50.02,54.44,376.76,438.69,325.74,332.08,0.25211125977173,27.46763883166223,21.520779115870283,21.670640917344496,109
317.67,30.32,30.81,33.56,376.76,438.69,325.74,332.08,4.056728560621248,28.03598311560162,20.247943042545696,20.494408697184895,110
303.9,50.81,36.3,37.92,376.76,438.69,325.74,332.08,3.035163302823256,16.15809966921609,12.057338270232817,12.253961531134898,111
350.86,38.6,35.62,41.35,376.76,438.69,325.74,332.08,2.0540128627862213,31.729343871511194,23.008116283843208,23.056492648565197,112
327.52,205.2,131.71,135.85,362.43,408.12,315.7,329.58,6.851801551659887,39.82720054032722,36.111800844740806,38.023475067403865,113
342.85,204.55,141.53,147.99,362.43,408.12,315.7,329.58,70.18451228689209,729.6966887764369,624.3123853425947,650.909376209231,114
303.68,147.04,94.05,97.89,362.43,408.12,315.7,329.58,3.4276612596442737,15.23223492200727,12.931763714045161,13.517529144629478,115
314.75,165.78,99.3,105.67,362.43,408.12,315.7,329.58,3.028003816569171,15.39023584117812,13.742869670838264,14.219805674664489,116
356.47,194.21,108.43,112.83,362.43,408.12,315.7,329.58,0.8230689836608714,29.54071917699624,28.623742993857277,29.932919833640018,117
287.51,99.44,93.59,102.87,362.43,408.12,315.7,329.58,4.836366824483128,19.926451032854395,14.338033040389043,14.634980282682454,118
336.04,178.06,130.8,136.79,362.43,408.12,315.7,329.58,3.0324597423307607,26.43606246004605,21.246752798672148,22.153388166879413,119
344.55,219.63,143.81,151.72,362.43,408.12,315.7,329.58,1.291378029304397,13.613637849193843,12.414707464045462,12.845889054366898,120
285.8,126.37,103.18,109.4,362.43,408.12,315.7,329.58,3.4318117321959645,12.617942784108223,9.517533985727344,9.860580806406205,121
320.71,100.95,57.53,86.69,362.43,408.12,315.7,329.58,5.689622164629575,41.8907296334915,35.2082874938259,33.12445655721181,122
296.02,144.89,126.69,133.36,362.43,408.12,315.7,329.58,4.077903161622824,16.163626701309674,11.60615082936801,12.048880565782714,123
290.91,82.43,60.72,67.71,362.43,408.12,315.7,329.58,5.535112365130647,25.20596680927574,19.73354237781058,20.266776776520736,124
323.27,150.92,91.77,97.89,362.43,408.12,315.7,329.58,4.162414965986397,27.338435374149665,23.802083333333332,24.626913265306122,125
284.1,88.68,54.1,60.87,362.43,408.12,315.7,329.58,10.397074459640665,42.400631499905714,34.72328199466357,35.66702257181212,126
347.11,206.92,119.39,124.96,362.43,408.12,315.7,329.58,6.336539887228118,83.21878755289151,81.19622358105433,84.63334149638497,127
319.86,168.37,110.94,116.56,362.43,408.12,315.7,329.58,2.2360494632571735,12.593207865067125,10.755308623362437,11.18917680674285,128
358.86,99.89,39.94,42.23,406.6,409.77,319.04,319.9,3.1680158292991334,20.563568185655956,18.52101420103452,18.426119717668414,129
363.01,153.6,75.54,79.49,406.6,409.77,319.04,319.9,2.640140375249853,15.515594400728475,14.748203289133718,14.561049497908158,130
371.31,210.27,127.11,125.82,406.6,409.77,319.04,319.9,4.037931331692554,22.827070010560043,21.960899985597944,22.206906003255607,131
314.86,60.41,3.43,7.79,406.6,409.77,319.04,319.9,5.883397153444408,22.40487932774513,20.240451009358946,20.015991776341114,132
